#SampleID	InputFileName	Type	Location	Species	Transect Position (m from start)	Dist. From transect (m)	Collection Date	Collection Time
52	52_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Pstr	6	-0.5	7/20/15	3-4pm
53	53_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Ssid	19.2	-2.1	7/20/15	3-4pm
54	54_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Mcav	14.8	2	7/20/15	3-4pm
55	55_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Oann	2	-2	7/20/15	3-4pm
56	56_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Oann	1.4	0.9	7/22/15	9-11am
57	57_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Mmir	10.1	-1.1	7/22/15	9-11am
58	58_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Mcav	33.5	-0.5	7/22/15	9-11am
59	59_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Ffra	19.6	0.2	7/22/15	9-11am
60	60_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Pstr	37.7	0.3	7/22/15	9-11am
61	61_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Mcav	2.1	0.4	7/22/15	9-11am
62	62_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Ssid	8.2	0.4	7/22/15	9-11am
63	63_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Ssid	1.1	-0.2	7/22/15	9-11am
64	64_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Pstr	27.8	0	7/22/15	9-11am
65	65_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Past	18.8	-0.2	7/22/15	9-11am
66	66_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Past	39.3	0.8	7/22/15	9-11am
67	67_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Mcav	17.9	-1.7	7/22/15	9-11am
68	68_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Mcav	11	-0.2	7/22/15	9-11am
69	69_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Dcyl	5.7	-1	7/22/15	9-11am
70	70_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Pstr	16.3	0	7/22/15	9-11am
71	71_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Mmir	1.6	-0.5	7/22/15	9-11am
72	72_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Oann	23	-1	7/22/15	9-11am
73	73_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Dcyl	30	-2	7/22/15	9-11am
74	74_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Ffra	21.3	0	7/22/15	9-11am
75	75_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Mcav	35.5	0.2	7/22/15	9-11am
76	76_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Past	35.5	-1	7/22/15	9-11am
77	77_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Oann	37.6	0.1	7/22/15	9-11am
78	78_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Ssid	39.1	0.2	7/22/15	9-11am
79	79_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Mmir	2.5	-2.5	7/22/15	9-11am
80	80_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Dcyl	15.4	-1.5	7/22/15	9-11am
81	81_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Oann	3.2	0.8	7/22/15	9-11am
82	82_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Pstr	2	1	7/22/15	9-11am
83	83_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Ssid	35.3	-0.3	7/22/15	9-11am
84	84_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Past	13.6	0.5	7/22/15	9-11am
85	85_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Ssid	17	-1	7/22/15	9-11am
86	86_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Srad	25	-1	7/22/15	9-11am
87	87_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Ffra	11.1	-0.4	7/22/15	9-11am
88	88_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Past	2	0.1	7/22/15	9-11am
89	89_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Pstr	8.6	-0.9	7/22/15	9-11am
90	90_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Dcyl	9	-1	7/22/15	9-11am
91	91_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Mmir	10.7	-1.2	7/22/15	9-11am
92	92_MERGED-MAX-MISMATCH-0	Coral	Booby Rock	Dcyl	16.8	1	7/22/15	9-11am
93	93_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Pstr	32.8	-2	7/22/15	4-5pm
94	94_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Mcav	38.5	-0.2	7/22/15	4-5pm
95	95_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Ffra	23.5	-0.2	7/22/15	4-5pm
96	96_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Srad	20	0.5	7/22/15	4-5pm
97	97_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Dcyl	39	2	7/22/15	4-5pm
98	98_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Srad	38.4	-0.5	7/22/15	4-5pm
99	99_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Ffra	12.9	2.5	7/22/15	4-5pm
100	100_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Dcyl	37.7	-0.5	7/22/15	4-5pm
101	101_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Srad	33.9	0.3	7/22/15	4-5pm
102	102_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Past	33.3	1.6	7/22/15	4-5pm
103	103_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Oann	33.4	1.5	7/22/15	4-5pm
104	104_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Mcav	39	-1	7/22/15	4-5pm
105	105_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Srad	14.5	-2.7	7/22/15	4-5pm
106	106_MERGED-MAX-MISMATCH-0	Coral	White Point	Ssid	39	-1	7/23/15	9-11am
107	107_MERGED-MAX-MISMATCH-0	Coral	White Point	Mcav	22.6	2.4	7/23/15	9-11am
108	108_MERGED-MAX-MISMATCH-0	Coral	White Point	Ssid	29	-0.8	7/23/15	9-11am
109	109_MERGED-MAX-MISMATCH-0	Coral	White Point	Mcav	33.4	1.1	7/23/15	9-11am
110	110_MERGED-MAX-MISMATCH-0	Coral	White Point	Mcav	26.4	0.4	7/23/15	9-11am
111	111_MERGED-MAX-MISMATCH-0	Coral	White Point	Srad	36.4	0.4	7/23/15	9-11am
